No,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
2687788,210,CASH_OUT,271160.08,C1986449611,120998.49,0.0,C1778520449,948355.16,1219515.23,0,0
2108032,183,CASH_IN,262808.7,C1867401489,360661.43,623470.13,C1487986394,740374.12,477565.42,0,0
1900918,165,CASH_IN,344404.59,C1860879182,1171767.54,1516172.14,C1350357846,1054292.14,794760.01,0,0
3617606,273,CASH_OUT,96015.69,C1910960549,69771.0,0.0,C2020287790,1161727.41,1257743.1,0,0
4388754,317,TRANSFER,5741.05,C1122558088,5741.05,0.0,C47401126,0.0,0.0,1,0
1771421,162,CASH_IN,189904.95,C2066094134,470977.0,660881.95,C1001569598,1265282.7,1190496.64,0,0
5300629,373,CASH_IN,55682.02,C202131251,273934.0,329616.02,C102157723,875590.92,819908.9,0,0
4953099,351,CASH_OUT,140438.7,C1973773897,0.0,0.0,C603799927,1198986.78,1339425.47,0,0
2342319,189,CASH_IN,187956.8,C2124708395,1103268.99,1291225.79,C1853690531,1850905.6,1662948.79,0,0
2340171,189,TRANSFER,358529.2,C2049488051,358529.2,0.0,C43121788,0.0,0.0,1,0
2371144,191,CASH_OUT,132294.93,C1830094235,132294.93,0.0,C178892179,640652.41,772947.34,1,0
1814710,163,CASH_IN,158231.21,C2141011958,309770.22,468001.43,C2008889742,745983.68,587752.47,0,0
6278355,642,DEBIT,1534.84,C2023769344,166250.0,164715.16,C377487377,795441.73,796976.57,0,0
4648882,330,CASH_OUT,405103.54,C198272182,901348.0,496244.46,C1976158454,207676.47,612780.0,0,0
3546208,260,CASH_IN,120625.13,C207600076,669803.39,790428.52,C1207883461,1093516.4,972891.27,0,0
1312651,136,CASH_IN,196720.94,C1834283465,802677.67,999398.61,C703035432,750084.5,553363.56,0,0
3944129,286,CASH_OUT,306132.53,C1983425344,0.0,0.0,C462968772,953959.03,1260091.56,0,0
3600124,263,CASH_IN,110202.36,C2041108596,1256758.5,1366960.85,C397253834,1896763.44,1786561.08,0,0
5827728,402,CASH_IN,225954.01,C1900176910,90383.0,316337.01,C906803813,1789590.6,1563636.58,0,0
3559158,260,CASH_OUT,141179.54,C2001893086,75032.0,0.0,C342394603,1343674.43,1484853.97,0,0
1545504,154,CASH_IN,303854.93,C1982587708,454.0,304308.93,C319509294,1020673.95,716819.02,0,0
4634026,330,CASH_IN,245954.29,C1946154836,30186.0,276140.29,C371596892,923103.07,677148.79,0,0
2971480,231,CASH_OUT,247763.41,C1993915629,0.0,0.0,C954134367,897283.5,1145046.91,0,0
2331901,188,CASH_OUT,19405.87,C1920804999,0.0,0.0,C703953879,1233790.51,1253196.37,0,0
2382095,195,CASH_OUT,71323.49,C1822929160,71323.49,0.0,C915515895,154430.46,225753.95,1,0
3748075,279,CASH_IN,153484.41,C1908662603,463197.98,616682.39,C958031136,738945.75,585461.34,0,0
2459583,203,CASH_IN,197666.25,C1998548333,527929.05,725595.31,C416816425,1836355.72,1638689.47,0,0
