"No","step","type","amount","nameOrig","oldbalanceOrg","newbalanceOrig","nameDest","oldbalanceDest","newbalanceDest","isFraud","isFlaggedFraud"
251,1,"TRANSFER",2806,"C1420196421",2806,0,"C972765878",0,0,1,0
681,1,"CASH_OUT",20128,"C1118430673",20128,0,"C339924917",6268,12145.85,1,0
1115,1,"TRANSFER",35063.63,"C1364127192",35063.63,0,"C1136419747",0,0,1,0
1116,1,"CASH_OUT",35063.63,"C1635772897",35063.63,0,"C1983025922",31140,7550.03,1,0
1702,1,"CASH_IN",34784.78,"C238467882",1245553.78,1280338.56,"C2083562754",812330.95,1186556.81,0,0
1775,1,"DEBIT",9755.38,"C1991094835",102287,92531.62,"C985934102",1174448.2,971418.91,0,0
1869,1,"TRANSFER",25071.46,"C669700766",25071.46,0,"C1384210339",0,0,1,0
1870,1,"CASH_OUT",25071.46,"C1275464847",25071.46,0,"C1364913072",9083.76,34155.22,1,0
1958,1,"TRANSFER",38829.9,"C2006835220",708735.91,669906.01,"C747464370",1822523.08,1567434.81,0,0
2301,1,"TRANSFER",235238.66,"C1872047468",235238.66,0,"C116289363",0,0,1,0
2302,1,"CASH_OUT",235238.66,"C1499825229",235238.66,0,"C2100440237",0,235238.66,1,0
2646,1,"CASH_IN",215511.92,"C281049997",253362.28,468874.2,"C1850180796",1271509.17,1187114.17,0,0
3059,2,"TRANSFER",1096187.24,"C1093223281",1096187.24,0,"C2063275841",0,0,1,0
3162,2,"TRANSFER",963532.14,"C1440057381",963532.14,0,"C268086000",0,0,1,0
3163,2,"CASH_OUT",963532.14,"C430329518",963532.14,0,"C991505714",132382.57,1095914.71,1,0
3271,2,"TRANSFER",14949.84,"C140702728",14949.84,0,"C634210724",0,0,1,0
3272,2,"CASH_OUT",14949.84,"C395257482",14949.84,0,"C1032986144",18161.79,33111.63,1,0
3440,2,"DEBIT",8723.05,"C2014777783",12580,3856.95,"C991505714",1266524.82,1066634.1,0,0
3683,2,"TRANSFER",18627.02,"C1375503918",18627.02,0,"C234430897",0,0,1,0
4103,3,"TRANSFER",10539.37,"C1134864869",10539.37,0,"C118648358",0,0,1,0
4260,3,"TRANSFER",22877,"C1247938090",22877,0,"C1002031672",0,0,1,0
4261,3,"CASH_OUT",22877,"C2126545173",22877,0,"C573200870",0,22877,1,0
4439,4,"CASH_OUT",92229.71,"C1916677384",33578.75,0,"C644345897",1313931,1063443.49,0,0
4440,4,"TRANSFER",10000000,"C7162498",12930418.44,2930418.44,"C945327594",0,0,1,0
4443,4,"CASH_OUT",2930418.44,"C2044690596",2930418.44,0,"C932583850",3616012.1,6963508.84,1,0
4667,4,"TRANSFER",169941.73,"C540962910",169941.73,0,"C2127862399",0,0,1,0
