No,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
4204040,304,CASH_OUT,31987.26,*,3201.0,0.0,*,1114880.83,1174839.19,0,0
984006,38,CASH_OUT,202860.53,*,30800.0,0.0,*,1272329.91,1448838.25,0,0
3232084,255,CASH_IN,308523.61,*,141213.24,427533.89,*,916625.59,695982.48,0,0
6362570,703,TRANSFER,53025.13,*,112428.0,0.0,*,0.0,0.0,1,0
4757303,330,CASH_IN,28315.47,*,436644.0,412232.79,*,1605230.55,1422430.19,0,0
867914,44,CASH_OUT,157348.49,*,33003.0,0.0,*,750308.28,1184223.73,0,0
3680666,272,TRANSFER,176859.05,*,349039.9,0.0,*,0.0,0.0,1,0
1396315,136,CASH_OUT,73882.81,*,22704.0,0.0,*,971499.52,1138547.72,0,0
4918111,353,CASH_OUT,361599.5,*,243943.56,0.0,*,8883125.52,1474214.92,0,0
3863867,299,CASH_IN,376619.71,*,188306.0,647114.11,*,1426453.21,1210854.16,0,0
1607474,142,CASH_OUT,218442.48,*,504479.0,198165.58,*,885319.12,1267344.61,0,0
2420196,187,CASH_IN,53508.52,*,358382.0,340975.58,*,1315179.66,1097075.56,0,0
5128436,332,CASH_IN,257030.36,*,866878.63,1143504.8,*,972912.5,709313.75,0,0
6219096,186,CASH_IN,104540.92,*,1128166.35,1214350.78,*,1071368.45,1045280.29,0,0
5986231,424,CASH_IN,185640.0,*,888317.89,1081841.23,*,612019.66,614973.9,0,0
1633041,138,TRANSFER,48965.01,*,64326.14,0.0,*,987830.42,1011282.78,0,0
2823176,209,CASH_IN,219652.29,*,521333.03,964388.05,*,1325649.15,1119572.73,0,0
1203718,133,CASH_IN,211792.55,*,468627.11,630689.41,*,1055583.39,417120.66,0,0
2658395,210,CASH_IN,45839.3,*,517128.66,698810.17,*,641006.51,501688.96,0,0
2315647,187,CASH_IN,361342.79,*,710005.49,953802.43,*,939591.7,837421.66,0,0
1442933,143,CASH_OUT,155945.16,*,103840.74,0.0,*,790923.74,359929.91,1,0
4138136,325,CASH_OUT,189828.27,*,863750.62,558965.7,*,639743.81,844737.04,0,0
464181,7,CASH_IN,483489.11,*,696940.54,1135252.98,*,1353722.87,1153088.02,0,0
3759311,295,CASH_IN,206616.43,*,891190.26,1071257.75,*,712866.14,561501.2,0,0
1258725,138,TRANSFER,603657.15,*,636656.0,0.0,*,0.0,0.0,1,0
2633071,206,CASH_OUT,252776.2,*,295755.79,0.0,*,1385905.78,1479563.7,0,0
6348235,616,TRANSFER,18595.55,*,42168.96,0.0,*,0.0,0.0,1,0
5717785,399,CASH_IN,38610.14,*,119719.0,163598.16,*,1092427.88,1156701.69,0,0
6024743,572,TRANSFER,61232.73,*,169529.97,0.0,*,0.0,0.0,1,0
1710905,155,CASH_IN,401944.0,*,517857.61,962676.54,*,1681429.49,1438577.1,0,0
1091907,151,CASH_OUT,57844.7,*,505963.0,412864.2,*,1203719.9,1572771.68,0,0
3936785,231,CASH_IN,17913.15,*,950710.24,1012905.32,*,832262.04,900443.55,0,0
824064,43,TRANSFER,2966072.14,*,2842851.02,0.0,*,0.0,0.0,1,0
5899644,404,CASH_OUT,101586.28,*,526889.59,291369.64,*,762681.88,888976.03,0,0
16045,26,CASH_OUT,58261.67,*,809678.18,664304.79,*,1413008.35,1573022.19,0,0
3591086,250,CASH_IN,18349.42,*,772840.08,635501.87,*,436211.07,583729.02,0,0
5962501,299,CASH_IN,248325.82,*,760777.66,965095.28,*,1611691.86,1283465.0,0,0
2723333,234,CASH_OUT,264105.77,*,250667.99,0.0,*,1288960.5,1675900.11,0,0
6230092,497,TRANSFER,1023631.11,*,1050614.71,0.0,*,0.0,0.0,1,0
6104265,559,CASH_OUT,134493.66,*,138434.54,0.0,*,1011928.74,1310500.16,0,0
345147,15,CASH_IN,165647.87,*,1344951.46,1584912.08,*,1076984.56,768375.59,0,0
1062644,131,CASH_IN,155142.3,*,976425.59,1037529.84,*,1484045.81,1447946.56,0,0
3740663,263,CASH_OUT,41314.46,*,371582.0,423921.54,*,1293242.98,1383828.14,0,0
109749,13,CASH_OUT,30826.79,*,806913.0,732840.89,*,515812.23,680201.21,0,0
1569211,154,CASH_OUT,492265.18,*,314455.14,0.0,*,180040.02,1444241.12,0,0
582294,43,CASH_IN,439767.99,*,100902.0,210249.71,*,1651153.92,1299018.35,0,0
4445547,305,CASH_OUT,1396639.34,*,1485605.35,0.0,*,215572.26,1717503.27,1,0
5880343,401,CASH_OUT,178625.07,*,44011.0,0.0,*,984262.24,1129301.1,0,0
4435717,300,CASH_IN,199302.13,*,544422.55,882576.4,*,549743.87,413059.46,0,0
1721933,158,CASH_IN,56010.3,*,517.0,37469.3,*,1164485.86,1129388.8,0,0
5884058,403,CASH_IN,75292.84,*,589216.35,643087.71,*,1275866.28,1174892.07,0,0
5853256,400,CASH_IN,25935.32,*,706522.25,808901.9,*,1321283.42,1292564.3,0,0
2242342,184,CASH_IN,49264.13,*,7100.0,140767.18,*,1109713.59,1137791.72,0,0
4426492,202,CASH_IN,127359.74,*,409515.61,652216.37,*,792238.99,867801.77,0,0
2378960,188,CASH_OUT,69754.28,*,426843.0,165158.88,*,1289037.45,1198962.57,0,0
4880357,400,CASH_IN,162440.06,*,988752.92,1121389.76,*,1935529.46,1367844.19,0,0
5499516,373,CASH_IN,14576.7,*,1312630.46,1082012.88,*,746452.68,647603.5,0,0
2984264,216,CASH_IN,115502.33,*,39402.0,186836.53,*,1530821.79,1423088.04,0,0
4841272,326,TRANSFER,3368.01,*,10531.0,0.0,*,961400.27,1000000.0,0,0
3731872,253,CASH_IN,18132.19,*,111907.0,177556.29,*,1301992.0,1203391.25,0,0
3386630,252,CASH_IN,277704.47,*,836795.05,1210166.34,*,1437526.39,1203503.94,0,0
1694148,162,CASH_OUT,89631.99,*,0.0,0.0,*,1118569.17,1239574.24,0,0
5521634,329,CASH_IN,48464.44,*,1243292.86,1510134.57,*,1306545.14,1465218.45,0,0
5994749,400,TRANSFER,1541429.1,*,1825222.8,0.0,*,0.0,0.0,1,0
