No,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
502501,34,CASH_OUT,344209.42,*,0.0,0.0,*,1026819.57,1474153.97,0,0
3113732,236,CASH_IN,213300.16,*,1349744.25,1439999.11,*,892943.18,687214.68,0,0
33308,6,CASH_OUT,62887.57,*,0.0,0.0,*,1166344.01,1248443.47,0,0
6108476,555,CASH_IN,200115.82,*,857786.38,1019240.39,*,831778.25,687177.91,0,0
5152317,357,CASH_IN,151343.83,*,960897.08,1159503.1,*,1314726.32,1259272.77,0,0
3884174,281,TRANSFER,181888.37,*,539310.0,366917.67,*,468097.77,769427.07,0,0
1030546,96,CASH_OUT,1518268.61,*,1622273.41,0.0,*,0.0,1730488.7,1,0
2155569,185,CASH_IN,154532.01,*,43208.0,218864.99,*,1285419.26,1118285.71,0,0
6187570,561,TRANSFER,292990.52,*,383908.44,0.0,*,0.0,0.0,1,0
59488,6,CASH_IN,250280.42,*,844143.97,1109010.43,*,974010.54,443260.14,0,0
2037852,237,CASH_IN,196399.88,*,839107.45,1020911.28,*,816341.74,693596.19,0,0
6161009,510,CASH_IN,314867.54,*,218.0,457456.57,*,1010890.83,690032.35,0,0
3221611,260,CASH_OUT,898208.05,*,866426.05,0.0,*,267.01,707368.95,1,0
1698466,154,CASH_OUT,212005.35,*,262662.0,49790.65,*,1097716.51,1278284.08,0,0
2785394,229,DEBIT,1768.68,*,246568.0,154264.31,*,1003859.86,1105629.0,0,0
1432457,140,CASH_OUT,262640.32,*,516341.0,252510.32,*,1337976.83,1520749.85,0,0
3979871,231,CASH_IN,42031.43,*,179875.51,236595.02,*,1121411.4,1072055.18,0,0
2309118,189,CASH_IN,310024.49,*,578083.97,981569.47,*,1565633.31,1206631.97,0,0
3177775,230,CASH_IN,129285.57,*,1223587.3,1384549.14,*,745130.51,591194.77,0,0
1733672,163,CASH_IN,298615.89,*,677019.56,925545.73,*,635535.69,306105.64,0,0
4433071,323,CASH_IN,187255.7,*,89381.0,228175.1,*,1025933.62,929459.83,0,0
1641354,156,CASH_OUT,167407.1,*,0.0,0.0,*,928789.7,1193349.01,0,0
1312977,137,CASH_IN,89506.42,*,954.0,227728.52,*,1383487.34,1333402.28,0,0
4249393,303,CASH_IN,62235.26,*,140720.0,35088.74,*,1871161.67,1696855.88,0,0
4514668,328,CASH_IN,18395.97,*,50191.0,152688.03,*,1176093.91,1235925.36,0,0
2387677,136,CASH_IN,99216.13,*,255268.57,274178.5,*,792728.96,651038.91,0,0
2881066,212,CASH_IN,201043.13,*,1138449.83,311443.02,*,1005652.43,944488.89,0,0
3095900,235,CASH_OUT,127634.76,*,527358.0,393503.24,*,828325.7,1088000.18,0,0
5253715,372,CASH_IN,143395.71,*,13910.0,166393.41,*,941909.73,885779.16,0,0
5927784,426,CASH_OUT,166743.32,*,130173.66,0.0,*,11178.75,217786.65,1,0
88359,7,CASH_OUT,217575.65,*,109917.0,0.0,*,1016994.11,1228910.65,0,0
5543559,393,CASH_OUT,69081.18,*,570808.0,592419.38,*,1613260.73,1688939.12,0,0
777626,4,CASH_IN,110759.82,*,1231558.33,1397656.28,*,1494559.59,1399756.3,0,0
1290227,136,CASH_IN,110557.46,*,787326.27,872340.31,*,1260125.01,1074462.44,0,0
2171322,185,CASH_OUT,248593.55,*,618525.76,550106.0,*,1095104.3,1403480.86,0,0
5024303,354,CASH_OUT,11242.1,*,40351.8,9457.1,*,861473.82,704131.19,0,0
5320070,378,CASH_IN,86654.13,*,311335.47,522753.55,*,826750.79,700589.36,0,0
6288685,740,CASH_OUT,2623666.6,*,2721928.3,0.0,*,212580.45,2274802.22,1,0
6058651,456,CASH_OUT,1445621.78,*,1535161.1,0.0,*,0.0,1658923.72,1,0
1671050,162,CASH_OUT,325011.1,*,111047.0,0.0,*,833134.68,1170868.74,0,0
2294864,134,TRANSFER,174863.64,*,15551.0,0.0,*,951158.9,1092690.36,0,0
6008479,652,CASH_OUT,124747.21,*,312362.0,192473.21,*,733139.36,990883.98,0,0
4018883,302,CASH_IN,201627.45,*,662566.63,989751.43,*,950302.21,740596.51,0,0
4560965,324,DEBIT,4426.99,*,252828.71,227519.26,*,1080270.59,1156731.63,0,0
5042705,353,CASH_IN,394806.83,*,1132290.11,1592539.15,*,1403744.33,1094242.26,0,0
1301757,139,CASH_IN,270523.54,*,2158.0,316020.55,*,1278302.34,925185.06,0,0
4727404,359,CASH_IN,89311.17,*,969543.47,1091733.75,*,920434.7,795986.9,0,0
2057713,187,CASH_OUT,47936.84,*,147050.74,0.0,*,1727059.51,4914999.42,1,0
2611407,205,CASH_IN,122296.39,*,90180.0,183324.39,*,1124895.97,1246847.42,0,0
5736185,402,TRANSFER,186378.92,*,120583.0,0.0,*,874742.67,1067149.53,0,0
1275137,134,TRANSFER,267176.97,*,896533.07,515362.82,*,418540.84,733385.19,0,0
2289594,189,CASH_OUT,78881.53,*,0.0,0.0,*,1020996.87,1135771.28,0,0
6030164,448,CASH_IN,238513.4,*,390782.6,771213.12,*,1220170.22,976877.57,0,0
87292,11,DEBIT,2798.68,*,234316.12,228102.67,*,1005268.14,1128339.21,0,0
3238590,251,CASH_OUT,84419.94,*,0.0,0.0,*,1052846.13,1022149.75,0,0
337648,324,CASH_IN,127847.5,*,30048.0,161555.4,*,1344540.63,1270090.07,0,0
5795247,412,CASH_OUT,116750.64,*,479413.12,439330.39,*,1866512.09,1669410.45,0,0
5424356,376,CASH_IN,249145.51,*,1253254.89,1565425.89,*,629872.46,335694.96,0,0
5644752,385,CASH_OUT,286604.66,*,309338.0,70119.58,*,1045975.89,1462826.67,0,0
5792457,397,CASH_OUT,73453.54,*,172127.86,220019.52,*,1114591.19,1038700.57,0,0
2938078,299,CASH_OUT,427521.75,*,226998.27,0.0,*,0.0,226678.84,1,0
2583611,205,CASH_IN,102456.54,*,167513.37,283136.96,*,604274.83,491504.26,0,0
4061250,358,CASH_OUT,8056731.65,*,427269.0,338914.61,*,392738.27,411355.17,0,0
4599351,337,CASH_OUT,367915.22,*,0.0,0.0,*,1283836.07,1399382.16,0,0
5949761,401,TRANSFER,519218.04,*,424213.92,0.0,*,0.0,0.0,1,0
307860,15,CASH_OUT,243929.88,*,300940.0,0.0,*,871119.17,1100892.96,0,0
1881801,163,CASH_OUT,209283.53,*,379151.0,199578.43,*,1322168.54,1562437.97,0,0
4872990,347,CASH_OUT,153404.61,*,0.0,0.0,*,955339.95,1160938.74,0,0
1424951,137,CASH_IN,439233.53,*,1114834.17,1665856.25,*,1162989.94,888584.64,0,0
920499,35,TRANSFER,132207.89,*,0.0,0.0,*,1113012.85,1162845.11,0,0
1634405,153,CASH_IN,249623.83,*,1188771.85,1438442.02,*,1110640.34,961275.37,0,0
6170903,568,CASH_OUT,54236.43,*,11165.73,0.0,*,116322.49,109979.09,1,0
3583974,259,CASH_IN,1923.46,*,468538.0,333094.55,*,1245606.73,1230383.8,0,0
1304880,133,CASH_IN,64285.72,*,360660.61,475332.13,*,851966.49,705965.85,0,0
4692294,334,TRANSFER,153324.61,*,132093.33,0.0,*,0.0,0.0,1,0
6186016,542,CASH_OUT,355439.61,*,462891.0,0.0,*,57079.95,538497.78,1,0
5519682,380,CASH_IN,141869.89,*,675034.49,872405.5,*,829316.42,571259.63,0,0
2027546,234,CASH_IN,4415.92,*,774274.14,739099.77,*,778669.67,670539.31,0,0
534020,29,CASH_IN,259360.86,*,154003.78,333043.37,*,1113772.3,665075.5,0,0
1706012,151,CASH_IN,147871.84,*,1446781.09,1553900.03,*,1106788.14,922752.06,0,0
4569801,324,CASH_IN,83247.09,*,250232.0,237559.11,*,1097651.7,1161378.72,0,0
5189357,375,CASH_OUT,288070.93,*,743833.47,0.0,*,9101755.03,1981099.97,1,0
6082016,496,TRANSFER,429033.83,*,529951.13,0.0,*,0.0,0.0,1,0
3923086,284,CASH_IN,130893.64,*,198651.0,291133.26,*,1220694.13,1250991.25,0,0
3957006,284,CASH_IN,86160.17,*,31351.0,82267.87,*,1070954.36,1110823.45,0,0
3179468,236,CASH_IN,54329.46,*,142352.0,294427.64,*,683691.74,585984.42,0,0
6020536,441,CASH_OUT,7170.12,*,8153.06,0.0,*,0.0,23561.28,1,0
4633680,330,CASH_IN,385388.01,*,20362.0,352974.9,*,1246859.98,704987.93,0,0
798259,36,CASH_IN,88293.78,*,494784.82,432850.63,*,570272.85,542518.67,0,0
5561277,389,CASH_IN,371852.75,*,858116.55,1170902.8,*,1760235.88,1358077.75,0,0
3538110,277,CASH_OUT,174409.45,*,15683.47,0.0,*,1291888.37,1292290.93,0,0
5350382,318,CASH_OUT,113006.67,*,100000.0,0.0,*,1063416.66,1071352.1,0,0
387883,17,CASH_OUT,273622.66,*,0.0,0.0,*,1007685.21,1374328.5,0,0
1225326,134,CASH_IN,184245.29,*,1111854.87,1260113.95,*,1200927.58,893072.91,0,0
3023781,236,CASH_OUT,166059.74,*,157767.0,0.0,*,1292666.82,1461000.03,0,0
5897200,427,CASH_IN,286184.1,*,592274.0,852162.9,*,1523442.27,1355948.53,0,0
114251,3,CASH_OUT,188841.04,*,200000.0,0.0,*,647874.78,513945.92,0,0
1929076,179,CASH_OUT,45925.64,*,171362.0,128133.34,*,1170362.71,1389836.74,0,0
5421976,376,CASH_IN,88261.58,*,397834.96,531511.39,*,1314500.08,1221570.65,0,0
1367518,138,CASH_IN,127570.47,*,1137848.79,1237794.69,*,859214.26,786945.35,0,0
1953201,129,CASH_OUT,252277.5,*,100000.0,0.0,*,891117.85,1191285.61,0,0
571513,15,CASH_IN,114277.58,*,624415.77,870907.63,*,1278649.25,1301879.86,0,0
1030465,94,CASH_OUT,52471.79,*,520508.55,399040.64,*,1074690.33,1181599.72,0,0
3517260,276,CASH_IN,115502.87,*,815429.55,1019385.32,*,823563.0,642494.95,0,0
3793280,276,CASH_IN,381489.71,*,199570.0,406387.21,*,1379751.7,655712.83,0,0
2241251,187,TRANSFER,614302.76,*,745300.15,0.0,*,0.0,0.0,1,0
4992986,323,CASH_IN,223539.49,*,703466.79,1124186.97,*,1273518.45,1170492.93,0,0
433609,15,CASH_IN,485597.27,*,3925.0,438305.24,*,1450483.3,1099086.33,0,0
3694650,260,CASH_OUT,64102.97,*,435811.0,317810.94,*,1323883.36,1498412.63,0,0
2763701,211,CASH_OUT,260417.72,*,104330.68,0.0,*,1088651.5,1212856.24,0,0
26053,9,CASH_IN,136278.08,*,814568.83,861827.03,*,1126998.27,1125791.2,0,0
6220946,571,TRANSFER,43969.17,*,23655.13,0.0,*,0.0,0.0,1,0
1573953,145,CASH_IN,12080.69,*,802018.55,849579.34,*,1249704.63,1272741.15,0,0
1674815,162,CASH_OUT,489491.51,*,599975.51,0.0,*,332246.43,841171.29,1,0
694505,21,TRANSFER,380974.35,*,462422.93,0.0,*,0.0,0.0,1,0
6153700,450,CASH_IN,40700.73,*,143787.0,135288.81,*,1102732.01,1107590.89,0,0
2789922,207,CASH_OUT,85016.6,*,711181.0,646558.6,*,1178199.14,1277090.52,0,0
6275267,643,CASH_OUT,100412.55,*,365040.56,264715.91,*,1329681.24,1411724.73,0,0
3080826,230,CASH_IN,66899.96,*,546399.19,518204.94,*,1417274.27,1348070.26,0,0
4486595,327,CASH_OUT,249391.9,*,0.0,0.0,*,1215416.55,1227924.58,0,0
4779214,339,CASH_IN,104288.42,*,110050.95,263121.45,*,1623217.31,1427376.09,0,0
4367188,324,CASH_OUT,108614.41,*,311548.9,50558.51,*,984432.25,1186171.68,0,0
1069292,119,DEBIT,1568.14,*,310235.1,238286.94,*,1201783.86,1225051.19,0,0
3146095,253,CASH_IN,35891.48,*,717362.96,702108.69,*,1329501.22,1244125.68,0,0
4155611,301,CASH_OUT,145122.04,*,0.0,0.0,*,1135270.84,1354156.85,0,0
6299888,571,CASH_IN,210074.93,*,878044.52,1047531.59,*,875611.06,409018.75,0,0
1320748,154,CASH_IN,456742.9,*,926676.78,1487480.29,*,1687977.25,754465.41,0,0
6026279,573,TRANSFER,71135.87,*,97347.43,0.0,*,0.0,0.0,1,0
2026305,189,CASH_IN,84315.8,*,992627.12,1035309.62,*,662035.51,482903.34,0,0
3188999,231,CASH_OUT,128117.64,*,0.0,0.0,*,1183205.67,1231772.32,0,0
528828,29,CASH_IN,165221.07,*,140203.16,284139.0,*,718559.4,994701.36,0,0
2835402,214,CASH_IN,173885.98,*,93164.0,203047.92,*,1024609.88,878216.2,0,0
1528754,154,CASH_OUT,232959.7,*,265817.07,0.0,*,0.0,156860.18,1,0
1030568,69,CASH_OUT,644233.72,*,730985.22,0.0,*,377636.26,1992937.89,1,0
4714880,330,CASH_IN,516171.48,*,218956.0,435684.56,*,1158455.66,616145.07,0,0
4517046,327,CASH_IN,139537.8,*,451321.0,506170.11,*,1290104.82,1007623.88,0,0
1670869,151,CASH_OUT,87082.93,*,332602.0,292345.07,*,1402961.37,1464313.24,0,0
223611,11,CASH_IN,154805.47,*,80724.0,297155.53,*,1258931.37,1356551.29,0,0
5105019,542,CASH_IN,213956.72,*,137317.0,364698.28,*,1009411.02,953293.84,0,0
